struct_id_2015,structure_id_2023,match_distance_deg
800864,802109,8.772180252507844e-06
800865,803328,1.1164825660750782e-05
800866,800417,6.0743779857045306e-06
800867,817977,2.4038278759469605e-05
800868,810436,2.6945962691835778e-05
800869,801569,1.803256784355344e-06
800870,818652,1.8546234836377837e-05
800871,810788,2.6215056870742676e-05
800872,813965,1.2217326088625207e-05
800873,810314,3.191306321468859e-05
800874,801537,4.320024458605548e-05
800875,801537,1.7438707262097675e-06
800876,806040,2.9899297626468558e-05
800877,807307,1.5512100553701098e-05
800878,815448,1.4158654262215444e-06
800879,813535,3.959113528525798e-06
800880,903009,1.4348021740252736e-05
800881,803390,4.041550208061777e-05
800882,801148,3.726155239752032e-05
800883,801148,4.7149556754371385e-06
800884,806973,4.194233404438316e-06
800885,815621,2.8403424430066805e-05
800886,803525,9.141582196259341e-06
800887,811098,2.1349774429731512e-05
800888,817664,3.353947520114358e-06
800889,805755,2.5769217459617845e-05
800890,813733,1.917922530923539e-05
800891,806917,2.761515533969626e-05
800892,817264,2.174315125881987e-05
800893,806430,3.475518295828767e-05
800894,808704,3.0611221833556775e-05
800895,809121,1.8403219223402516e-05
800896,818212,1.9462495998313054e-05
800897,816340,4.250026494466321e-05
800898,805942,1.8113878286951367e-06
800899,814374,3.0323355877352095e-06
800900,814374,4.759285820509694e-06
800901,814983,1.0399700083910817e-05
800902,815609,2.0091931369169177e-06
800903,809014,7.62679908523044e-06
800904,811772,8.735506863951783e-06
800905,805122,2.411873396630983e-06
800906,815580,4.677657300429163e-06
800907,818774,3.021750479183441e-06
800908,806117,2.3645578137068595e-06
800909,812023,9.833420686653889e-06
800910,810295,1.0824831056172191e-05
800911,804700,3.575753753365318e-06
800912,801399,8.270105473666589e-07
800913,806367,7.698151304869863e-06
800914,805082,5.493060241422995e-06
800915,811248,2.9459153981069605e-05
